Movie Name,Storyline
Stelios,"Legendary Greek singer Stelios Kazantzidis, a Pontic refugee child who overcame challenges through talent and resilience, exploring his music, relationships, hardships, and devoted fanbase."
Unspoken,"Follows a closeted teenager in a religious community who finds a love letter written to his grandfather by another man, so he sets out to find the person."
Blackout,"The streets of Pune, where a single night of darkness engulfs the city in mystery, as crime reporter Lenny, gets entangled in a web of greed and misfortune."
A Bronx Tale: The Original One Man Show,"One man lives in the neighborhood, another man owns it. A devoted father battles the local crime boss for the love of his son"
American Dream: The 21 Savage Story,Follows 21 Savage's journey from UK birth to US upbringing where he conquers adversity like poverty and crime to attain success in rap music.
Christspiracy,"The moral dimension of humanity's interaction with nonhuman animals and the industries that profit from their exploitation, as informed by world religions. A historical explanation of how the current global situation came to be."
All Illusions Must Be Broken,"Through the lens of American cultural anthropologist and Pultizer Prize-winning author Ernest Becker, ALL ILLUSIONS MUST BE BROKEN is a cinematic rumination on human mortality and the lengths to which we go to deny it."
The Best Friend,"On Canoa Quebrada beach, the reunion between two friends rekindles old desires."
Thesis on a Domestication,"A successful transgender actress and her lawyer husband decide to adopt a child, defying the conservative community in Argentina. But their attempt for a domestic happiness is thwarted when they visit the actress's hometown."
Her Story,"Wang Tiemei, a single mother, loses her job and moves, befriending neighbor Xiaoye who appears cheerful but is depressed. Their bond grows as Tiemei navigates relationships with her ex-husband causing trouble."
The Demon Disorder,"Tells the story of Graham, Jake and Phillip Reilly and their deceased father. Their pasts collide when a family secret is discovered, leading their father's garage to become the site of revenge from beyond the grave."
Cocorico,"The daughter of the Bouvier-Sauvage family of aristocrats is in love with the son of a Peugeot dealer. When the children announce their marriage, the aristocratic family does not agree."
Can You Hear Me?,A World War 1 Romantic Ghost Story
The Boy with Pink Trousers,"The story of Andrea Spezzacatena, who, in 2012, decided to take his own life because of the continuous bullying of some classmates."
National Theatre Live: Vanya,"Andrew Scott brings multiple characters to life in Chekhov's Uncle Vanya, filmed live in West End, London. Hopes, dreams, and regrets are thrust into sharp focus in this one-man adaptation which explores the complexities of human emotions."
Invader,"A young woman arrives in the Chicago suburbs and begins to suspect that something terrible has happened to her missing cousin, but soon realizes that her greatest fears don't even begin to scratch the surface."
Haunted Universities 3,"Three separate stories of haunting events in Thailand's universities. Jao Nang, Phee Take and The Invisible Shrine."
Bir Cumhuriyet Sarkisi,"In 1930s Turkey, a handful of young, talented and determined people strive to realize an artistic revolution in a fledgling country."
Jack in Time for Christmas,Jack Whitehall races against time to get from the US to the UK for Christmas. His frantic four-day journey involves various modes of transport and encounters with celebrity friends as he battles holiday chaos to reach home.
My Sunshine,"Two young skaters, polar opposites in personality, team up to train for a figure skating duo, their growing bond blurring the lines between partners and more as winter unfolds."
Good Grief,"After her mother suddenly dies, a pushover painter must battle through the opinions and expectations of family, ""friends,"" and a toxic boyfriend to plan her funeral."
Mission: Cross,"In the ultimate test of marriage, an agent-turned-househusband gets tangled in a perilous mission with his detective wife, who's clueless about his past."
Dead Sea,"Stranded in the open sea after a fatal accident, a young woman and her two friends are rescued by a fishing vessel's captain, unaware that the ship harbors a chilling secret."
They Turned Us Into Killers,"Karma is assaulted by her boyfriend, BJ, which leads to her committing suicide. Star hunts down BJ and his brothers, and begins to torture them, while reading to them Karma's suicide letter, before taking each of their lives."
Marco,Enric Marco was a Spanish trade unionist who falsely claimed to have survived Nazi concentration camps. He chaired a Holocaust survivors' group until his lie was exposed in 2005.
Fly,"Over seven years, three couples involved in the extreme sport of BASE jumping test the limits of love and life itself. Risking everything for the thrill of the jump, their dedication is put to the ultimate test."
Candidatul perfect,"Costica, an aimless man, runs for president inadvertently backed by a corrupt party planning to lose and continue embezzling funds, all while he naively seeks to secure his neighbor's parking spot."
Martha,"The film covers the breadth of her extraordinary life through intimate interviews with Stewart herself, who opened up her personal archives to share never-before-seen photos, letters, and diary entries."
Bob Mackie: Naked Illusion,"Bob Mackie, a six-decade costume designer, received a Lifetime Achievement award and Tony nomination for The Cher Show. His unique, unfiltered style has been showcased in a new documentary."
Don't Mess with Grandma,"A drunk Army ranger must fight off the vicious robbers who plan to loot the cabin belonging to his sweet, oblivious grandmother."
Sweet Bobby: My Catfish Nightmare,"A woman's online courtship takes an unsettling turn when her romantic interest harbors a dark secret and sinister motives, leading to a harrowing ordeal."
The White House Effect,Explores the dramatic origin story of the climate crisis and how a political battle in the George H.W. Bush administration changed the course of history.
I Am: Celine Dion,"A raw and honest behind-the-scenes look at the iconic superstar's struggle with Stiff Person Syndrome, a life-altering illness."
Can I Get a Witness,"In a not so distant future, there is a reality where in order to save the planet, ""death is everyone's job"", with 50-year-olds taking the sacrifice, while teenage artists need to document it."
The Mother and the Bear,"After an accident leaves her daughter Sumi comatose in Winnipeg, Sara arrives from Seoul. While using Sumi's dating app, the meddling mother embarks on a transformative personal journey."
He Loves Me Not,"An aspiring actress chosen as a wild card for a reality TV dating show uses a secret elixir to win the heart of the star, but when her deception is revealed, she discovers a messy but real chance for love."
Panda Bear in Africa,"A panda travels from China to Africa, facing hippos, hyenas, gorillas. He rescues his kidnapped dragon friend, makes new friends, and protects their jungle home."
100 litraa sahtia,"Two middle-aged sisters in a Finnish village promise to brew beer for a wedding but drink their entire batch. In a hilarious race against time, they struggle with hangovers while trying to make more beer and save their reputations."
Depth of Field,"The film tells the story of Charles, a widower who has given up on life, until he meets a foster child next door that changes his life forever."
Matchmaking 2,"After breaking box office records with their first film, the characters from Matchmaking return with this endearing romantic comedy set against Ashkenazi and Sepharic cultural tensions. Maor Schwitzer (Valley of Tears, Shtisel) stars as Baruch Auerbach, a graduate student who continues to live in a small room at the yeshiva where he studied and now serves as the faithful assistant to the matchmaker Malchi (Irit Kaplan, The Beauty Queen of Jerusalem). When Malchi assigns him the task of picking up her younger daughter Shira from the airport, he decides it's time for him to get married but struggles to be seen as an eligible suitor. Featuring a stellar supporting cast that includes Reymonde Amsallem (Seven Blessings), this sequel is a fun trip in its own right that does not require familiarity with its predecessor."
"Brooklyn, Minnesota","Follows Maisie and her father Kurt who have to leave their Brooklyn bubble to go back to Kurt's childhood home in Minnesota, where Maisie upsets long-standing family traditions, falls in love, and makes her family face their issues."
The John Perkins Tapes,"This is the recovered footage of serial killer Johns Perkins, who filmed his victims, creating what he believed to be artistic videos."
Goldilocks and the Three Bears: Death and Porridge,"When a group of friends arrive at the wrong address for their annual reunion vacation, Desperate, they break into a isolated house only to later discover it belongs to psychotic killers dressed as Goldilocks and the Three Bears."
Water Lily,"She knows the man, not the darkness he brings."
A Mother's Embrace,"During massive 1996 Rio storm, firefighter Ana and her firefighter team must evacuate a collapsing nursing home, but the mysterious residents have other sinister plans."
Rita,"A new wife Rita, who finds herself alone when husband Ariel works abroad. They both find sexual satisfaction in other people. When Ariel comes back, they both act like nothing happened. But will this keep their marriage from falling apart?"
The Casagrandes Movie,"After a surprise family trip to Mexico derails Ronnie Anne's birthday plans, she is determined to prove she's old enough to do her own thing - even if it means confronting an ancient preteen demigod whose angst has apocalyptic potential."
Jimmy Carr: Natural Born Killer,"An iconic comedian tackles controversial issues such as gun control, religion, cancellation culture and consent through provocative humor."
A World Apart,"Michele relocates from capital to remote village Rupe in Abruzzo park. Challenges emerge as she aims to keep local school with few students open, set against idyllic winter and summer backdrops."
Nearing Death,Torment near death that is difficult to ward off with prayer terrorizes a family. What sin did they commit?
Satisfied,Renée Elise Goldsberry's journey navigating motherhood and her role in the groundbreaking musical Hamilton.
Stress Positions,"Terry, in strict quarantine in his ex-husband's Brooklyn home, cares for his injured nephew, a 19-year-old Moroccan model named Bahlul, drawing attention from everyone in his life."
Green Line,"Fida grows up in war 1980s Beirut, hearing her grandmother's stories of the ""red hell"". Desensitized, she questions life's worth amid conflict, confronting militants through miniatures, juxtaposing her childlike perspective with theirs."
Rocky Road to Berlin,"A feature-length film based on the story ""Me, a Pobeda and Berlin"" by the legendary Ukrainian musician Kuzma Scryabin."
Atypical Pirate,"Hugo, a neurodiverse savant involved in the dangerous theft of a valuable USB memory stick, escapes from those who want to recover it, but when he meets Cynthia they set off in search of a new treasure."
Crisis Negotiators,Senior Negotiator Cheuk Man Wai accidentally becomes the number one suspect in a murder case. He is forced to occupy the police station and take the police hostage. He also appoints former negotiator Tse Ka Chun to talk to him.
The Pleasure Is Mine,What was at first a simple pursuit to regain stolen money becomes the chance for a dysfunctional family to finally reconcile.
Serpent's Path,A mysterious woman teams up with a man whose daughter was killed and who is now seeking revenge. Together they kidnap members of an organization and torture them to find out what really happened.
Sooryavansham,No storyline available
Romeo,"A husband tries to win the love of his wife, who marries him because of familial obligation."
Sommartider,"The inspirational, feel-good story behind the legendary Swedish pop sensation Gyllene Tider."
Children of the Cult,"Osho cult survivors recount the harrowing experiences they endured as children in 'Wild Wild Country' Osho communes in the 80s, exposing a systemic culture of exploitation and attempting to talk to those responsible."
Boys on Film 24: Happy Endings,"Let BOYS ON FILM move, inspire and uplift you with this stunning collection of 11 new gay short films, marking the final physical edition of the series."
Ivo,A married palliative care nurse gets embroiled in an affair with her ill patient's husband.
Wild Wild Space,"Focus on the intense rivalry between two visionaries and founders of contesting rocket companies, Chris Kemp and Peter Beck."
The Snow Sister,"A young boy named Julian, whose Christmas Eve birthday turns sad with the death of his sister sends his household into mourning and it isn't until he meets Christmas-loving Hedwig that he begins to believe in Christmas again."
The Windigo,"A Native American teen resurrects an ancient demon to protect his family from meth dealers, but finds the creature's bloodlust uncontrollable, forcing the family to break the curse before becoming its next victims."
Russian Consul,"Year 1973, turmoil between Kosovo Serbs and Albanians in Autonomous province of Kosovo. A story that describes the beginning of the crisis in Kosovo."
She Looks Like Me,"Born without legs, Jen Bricker is abandoned by her biological parents. Adopted in the US, she idolizes America's superstar gymnast - the mesmerizing Dominique Moceanu - only to find out that the two women share a shocking secret."
Flight 404,"Days before traveling to Mecca for HAJJ, Ghada is faced with an emergency and needs a large sum of money. She must return to a tainted past and keep it from consuming her."
Chhota Bheem and the Curse of Damyaan,Bheem and his gang travel to the past to king Damyaan and stop him from being immortal.
The Underdoggs,"Jaycen ""Two Js"" Jennings is a washed-up ex-professional football star who has hit rock bottom. When Jaycen is sentenced to community service coaching an unruly pee-wee football team, he sees it as an opportunity to turn his life around."
El Hawa Sultan,"Sara and Ali have been close friends since childhood, and together, they face many different situations and problems with their friends and families, but some changes suddenly occur in their relationship."
Klitschko: More Than a Fight,"Vitali Klitschko from boxing champion to Kyiv mayor leads city's defence against Russian invasion in 2022, showcasing his transformation and efforts alongside brother Wladimir to support Ukraine during wartime crisis."
Pignorant,An ex gang member's love for pigs spurs him on a life-risking mission to uncover the truth behind 'bacon'.
The McKinney Family Home Videos,A loving father's obsession with recording family memories takes a sinister turn as his home videos reveal a dark presence threatening to destroy everything he holds dear.
Sookshma Darshini,"Manuel returns with his mother to their former home in a middle-class neighbourhood. Suspicious of his intentions, Priyadarshini and her friends begin gathering clues, convinced he may be hiding something sinister."
The Flamenco Guitar of Yerai Cortés,"La guitarra flamenca de Yerai Cortés is a story that combines the power of music with the weight of a family secret that must come to light. Starring Yerai Cortés himself, the plot explores themes of passion, love and forgiveness as the protagonist confronts the hidden truths of his family. Wrapped in a unique musical experience, this story not only highlights the power of flamenco as a means of expression, but also addresses Yerai's internal conflict."
I Can't Live Without You,"After he turns a family event into a disaster, a workaholic must choose between his marriage and his phone after his wife issues him an ultimatum."
Dinosaur Hotel 3,A group of people with dodgy backgrounds wake up in a hotel infested with Dinosaurs and soon discover they must play the games to survive the night.
The Trail,"A young woman embarks on a remote hiking trail in the Alps to cope with a trauma. In the midst of the rustic landscape, she is now not only confronted with her own fears, but also has to face an alien threat."
Eks,Three compelling stories in one erotic experience. Yen Durano plays three different women in three titillating stories.
Double Exposure,No storyline available
Silent Notes,"When Bruce is faced with sudden hearing loss, he embarks on a dangerous journey to raise the money to fix it."
Chief of Station,"After learning that the death of his wife was not an accident, a former CIA Station Chief is forced back into the espionage underworld, teaming up with an adversary to unravel a conspiracy that challenges everything he thought he knew."
The Beautiful Game,Advocates to end homelessness organize an annual tournament for homeless men to compete in a series of football matches known as The Homeless World Cup.
Armor,A father and son working as security guards for an armored truck company encounter a team of would-be robbers while on a bridge. They become trapped and must come up with a plan to escape and ensure their survival.
Outbreak,"A Psychological Thriller about a state park ranger husband and his wife struggling to come to terms with their missing teenage son while dealing with a local mystery that questions their relationship and in the end, their grip on reality."
Singham Again,"Bajirao Singham and a team of super cops must rescue his wife, Avni, who is producing a stage play based on the Ramayana, from a villainous kidnapper."
Pani,"When the peaceful married life of a couple is unexpectedly disrupted by two youngsters with criminal inclination, the trials and tribulations connect the mobster lives of Thrissur by becoming a part of vengeance."
Lembayung,Pica and Arum were still doing practical field work (PFW) at that time. They underwent PFW at the dental clinic in a small hospital in Central Java.
Hustlers Take All,"When an underground casino run by women recruits a brilliant young business grad, the casino's biggest rival hatches a murderous plot to stay on top."
The Vampire Next Door,"Introverted Cameron, is desperately in love with his high school crush Diane. But his romantic pursuit is halted when Victoria, a female vampire moves in next door. Cameron soon discovers he's in the middle of a life-and-death adventure."
Devara Part 1,"A mighty sea warrior takes a violent stand against the criminal deeds of his village. Years later, his mild-mannered son walks a path of his own."
The Greatest of All Time,"Gandhi is a hostage negotiator, field agent, and spy working for the Special Anti-Terrorist Squad (SATS). After years of service, he is called back for a critical mission that sets him on a dangerous collision course with his own past."
The Girl in the Pool,A well-to-do family man is forced to struggle through a surprise birthday party moments after hiding the murdered corpse of his mistress.
Guns & Moses,A beloved small town rabbi in the high desert becomes an unlikely gunslinger after his community is violently attacked.
Bonhoeffer: Pastor. Spy. Assassin.,"As the world teeters on the brink of annihilation, Dietrich Bonhoeffer joins a deadly plot to assassinate Hitler, risking his faith and fate to save millions of Jews from genocide."
Motel Destino,"Under the burning sky on a roadside on the coast of Ceará, Motel Destino is the scene of dangerous games of desire, power and violence. One night, the arrival of young Heraldo definitively transforms the daily life of the place."
Haikyu!! The Dumpster Battle,"Despite a strong field, the Karasuno High volleyball team advances past the preliminary round of the Harutaka tournament in Miyagi prefecture to reach the third round."
Dead Money,Professional poker player Andy and his girlfriend Chloe are involved in a crazy 24 hours after a home poker game is robbed. Andy ends up playing the largest poker game of his life as both of their lives are in danger.
Compulsion,"On the island of Malta, two women get engaged in a string of horrifying murders."
On aurait dû aller en Grèce,"After losing his fortune, a wealthy patriarch must accept a loaned Corsican villa for his family's summer getaway. Their usual luxury is replaced by an authentic Corsican experience, with their overstayed son and visiting daughter in tow."
A Mistake,"In the midst of a new scheme to publicly report surgeons' performance, a gifted surgeon's life is thrown into disarray as her colleagues begin to close ranks, and even her partner who is a nurse at the hospital turns her back on her."
Rock the Boat 2,"After losing her memory about her tragic past, Millie tries to pick up the pieces but is terrified when chaos follows her and her friends' every move."
The Prosecutor,"A poor young man is wrongly charged with drug trafficking after being deceived. An ex-prosecutor investigates the case, uncovers a corrupt lawyer team's scheme, and restores justice despite obstruction from evil forces."
Kulong,"Three celibate friends seclude themselves at a resort to pen a steamy script for a competition, but struggle to write convincingly about intimacy they haven't experienced."
Six Days,"A police officer who was unable to find the killer of a young girl 11 years earlier. When another child is kidnapped in the same way just days before the case is closed for good, he decides to reinvestigate the unresolved kidnapping."
The Family Star,"The highs and lows of family relationships in a Indian middle-class family. The life of Govardhan, who wants to achieve greatness in life but has to navigate through a myriad of relationship/trust/ego issues."
Kang Mak,"A man named Makmur returned from the battlefield. However, Makmur finds Sari, his wife, has died and become a ghost."
Mars,"A zany crew of misfits blasts off to Mars, only to find they've been duped by a scheming billionaire. Chaos ensues as they face bizarre challenges and unexpected surprises on their wacky interplanetary journey."
Inheritance,"After the death of eccentric inventor Jan Peszek, a family gathers to inherit his fortune. Unexpectedly, he prepares a last game to test their reconciliation and teamwork."
Babes,"Lifelong friends Eden and Dawn, one single and wanting a baby, the other already a mother, navigate challenges to their bond when Eden pursues pregnancy alone after a one-night stand."
This Time Next Year,"Minnie and Quinn are born on the same day, one minute apart. Their lives may begin together, but their worlds couldn't be more different. Years later they find themselves together again. Maybe it's time to take a chance on love."
The Shadow,"Juhan Liiv, a struggling poet and an unlikely detective suffering from the early stages of schizophrenia, solves gruesome murder cases in Estonia in the 1890s under the shadow of the tyrannical Russian Empire."
Zero,"Two Americans end up in Dakar, Senegal with bombs strapped to their chests and ten hours to find out why."
Find Me Falling,"After a failed comeback album, rock star John Allman escapes to a dreamy Mediterranean island, only to discover that his new cliffside home has an unfortunate notoriety that attracts unwanted visitors and an old flame."
Private Tutor,"Joy, a struggling teacher, tutors Erica. Erica's wealthy widower father Gordon and Erica develop feelings for Joy, who is dissatisfied with her partner Vigo's lack of support."
Joe Baby,"A money collector for a private investigator is hired to track down 10 million dollars stolen in a dodgy real estate deal, opening a complex can of worms."
The Bad Shepherd,A group of friends on a hunting trip accidentally run over a woman carrying a bag of money. Their loyalty is put to the test when a strange man comes knocking.
Take My Hand,"At the peak of her career in London, an Australian woman is diagnosed with MS. After losing her job and the death of her husband, she moves home with her three sons, where a chance encounter with a childhood sweetheart changes her life."
Winner,Winner is a brilliant young misfit from Texas who finds her morals challenged while serving in the U.S. Air Force and working as an NSA contractor.
Baby John,Revolves around a DCP who transforms and travels to a different place in order to safeguard his family.
Vanished Into the Night,"A father, immersed in a difficult divorce process, embarks on a dangerous mission when his children disappear from their isolated country house."
The Cellar,"A young girl wakes up imprisoned underground, with amnesia. She must escape, unravel the mystery behind her captivity, and confront her personal struggles. A suspenseful tale of survival, truth, and inner turmoil unfolds."
Hijack '93,"In an effort to dismantle their military-backed government, four men hijack an airplane, leveraging passengers on board in the name of social change."
Stripped: Nashville,"This observational documentary follows the lives of Nashville's most dynamic exotic dancers over the course of several days - highlighting their skills as dancers, upbringing, personal relationships and business acumen."
"Extraction, USA","A single mom and a mysterious drifter hook up and hustle pool to survive in the grimy town of Extraction, USA. When they uncover a dangerous drug ring, they decide to risk it all in a deadly heist to escape town in search of a better life."
The Real Bros of Simi Valley: The Movie,"With the 10-year high school reunion around the corner, Xander and his squad embark on a journey to become the dopest versions of themselves in time to flex on all of their old classmates"
Yodha,"After terrorists hijack a passenger plane, an off-duty soldier aboard devises a strategy to defeat the hijackers and ensure the passengers' survival when the engine fails."
Mørkeland,"Ulrik Torp, once a fearless investigative journalist who is now tackling unemployment and a midlife crisis. He finds himself in the middle of a new political conspiracy."
The Grinch that Stole Bitches,"The Grinch has to settle the score with Santa, so he decides to take a different approach."
Bedspacer,Janice's steamy obsession to imitate Lexi propels them to campus stardom. But dark secrets blur the lines between authenticity and seductive deception.
Por,"Journey that delves deep into the complexities of friendship. Set against the backdrop of a vibrant college festival, the movie explores the intricate dynamics between two friends whose paths diverge and ignite a fierce competition."
Saint Clare,"In a small town a solitary woman is haunted by voices that lead her to assassinate ill intended people and get away with it, until her last kill sucks her down a rabbit hole riddled with corruption, trafficking and visions from the beyond."
Ayalaan,"A lost alien seeks help to go back to his home, but everything gets harder after the alien returns to its home."
Boss Ma'am,"When a terror female boss was blackmailed by her assistant, she has no choice but to obey and play with her."
Exorcism Chronicles: The Beginning,"An excommunicated priest helps his monk friend protect a powerful boy from an evil master, forcing him to confront his past."
Les Survivantes,"Eight survivors recount their harrowing experiences within a widespread pedophile network, exposing the system that enabled such horrific abuse and asking how long it will persist."
Gebokste Liefde,No storyline available
Transmedium: Fastmovers & USOs,"Transmedium UFOs, often viewed as ocean-based USOs, have long fascinated Navy personnel. Join us for an in-depth exploration of USO history with former Navy Chief Oceanographer Tim Gallaudet."
The Summer Book,"Follows the inspirational tale of a young girl and her grandmother spending a summer on a small, uninhabited island in the Gulf of Finland."
Uhaw,A wife learns that her husband who's in coma had an affair. She confronts the other woman but instead finds solace in her. She then realizes she's falling for her husband's mistress.
Manamey,"A charismatic playboy's life is upended when a young boy enters his world, initially causing chaos but gradually becoming an integral part, exploring themes of love, family, and growth."
Mon Potongo,"Two young outcasts from different faiths dream of owning a luxury armchair they see in a store window. Working as laborers in the big city, they fight against social barriers and poverty to make their shared dream come true."
The Kingdom,"Lesia, a teenager, is taken by a man to a villa where her fugitive father and his men are hiding. A war erupts, leading to death and a chase where father and daughter bond."
Init,"When a young barrio lass moves in to the city to study, she lives in a boarding house with other college students. Unknown to them, behind her shy and timid personality is a woman with insatiable hunger for sex."
Trouble,"Conny, a divorced salesman, gets wrongfully imprisoned for murder. There, he meets criminals who mistake him for a pilot like his ex-wife's new boyfriend. Chaos ensues as he navigates life behind bars while separated from his daughter."
Cita,A sexually charged story about a young woman who secretly sleeps with her husband's son. The two form an alliance to kill her husband but fate has other plans for Cita.
Unpredictable,"A modern thriller filled with intense sexual tension. Betrayal, jealousy, revenge and lies. A plot full of tension and twists of events."
Murder at Hollow Creek,A disbarred lawyer and his eccentric brother attempt to pull off the robbery of a lifetime but find themselves in a dangerous game of cat and mouse with a disgruntled Serbian mobster
The Program,"Explores the unprecedented bipartisan congressional effort to uncover what intelligence agencies really know about UFOs, now referred to as UAP."
Spre punctul G,"On International Female Orgasm Day, in a town in Transylvania, the love lives of several young people take an unexpected turn. A film about what everyone thinks but no one talks about."
Adult Best Friends,"Inseparable since childhood, levelheaded Katie takes her codependent best friend Delaney on a girls' trip to break the news that she is getting married. Things do not go as planned."
A Legend,An archeologist noticed that the texture of the relics discovered during the excavation of a glacier closely resembled a jade pendant seen in one of his dreams. He and his team then embark on an expedition into the depths of the glacier.
Operation: Raqqa,"In 2014, on the streets of Raqa, an international spy Haibala (aka El Saharawi) tries to hunt down El Jordano, one of the most wanted ISIS leaders."
Iconic,A beauty influencer living in Los Angeles gradually loses her grip on reality.
Trifole,"In this bittersweet portrait of a vanishing rural way of life, Dalia travels to Piedmont to care for her aging grandfather Igor, an expert forager. Armed with his loyal dog Birba, she hunts for a prizewinning truffle to save his home."
Duchess,"Follows a tough, working-class, petty criminal who morphs into an anti-heroine to be reckoned with in a murky underworld, in the treacherous world of diamond smuggling."
How Could I Live Without You?,"Lili reads her mother Eszter's diary and love letters, revealing Eszter's summer romance with Geri, a musician, at Lake Balaton in the 1990s, defying her commitment to her boyfriend, impacting their lives and Lili's."
F-Buddies,"Jas' boyfriend breaks up with her because she's boring. To prove him wrong, and just to continue to be with him, she agrees to be his f*** buddy."
Antropophagus Legacy,"Everything in Hanna's life suddenly seems to fall apart. Accused of the brutal murder, she will ask for help from her cousin Hugo, who will drag her into a spiral of violence involving a dark past and a bloodline to be dealt with."
Goebbels and the Führer,Nazi propaganda minister Joseph Goebbels is in charge of building public support for the Holocaust and for the war that Hitler is about to start.
Dragonkeeper,"The fate of ancient China rests on the shoulders of one young girl, who must find the last remaining dragon egg and fulfill her destiny."
Night of the Zoopocalypse,A wolf and mountain lion team up when a meteor unleashes a virus turning zoo animals into zombies. They join forces with other survivors to rescue the zoo and stop the deranged mutant leader from spreading the virus.
River of Blood,Four kayakers take the wrong river into a jungle inhabited by a tribe of merciless cannibals.
Top 1,"Azi and Dex are both vying to be their batch valedictorian but Dex is always behind Azi. He then plans to make her fall in love to be a distraction, but his plan is a double-edged sword."
Castration Movie Anthology I: Traps,Trans sex worker Michaela mentors her newly-out friend Adeline while pursuing motherhood in Vancouver. Production assistant Turner slides toward inceldom as his relationship falls apart.
TL,"Brenda, a top agent in a BPO company, is always overlooked for promotion. But not this time; as she gets more than intimate with her TL. Is her long awaited position within her reach? Or did she just put herself in a bad situation?"
Rez Ball,"The Chuska Warriors, a Native American high school basketball team from New Mexico, must band together after losing their star player if they want to keep their quest for a state championship alive."
Why Do You?,"Love comes without asking. Often not to those, not so and not then. Can a genuine feeling survive when everything started wrong and the whole world is against it? Give up everything or give up? Burn or survive?"
The Tiger's Apprentice,"Tom Lee, a Chinese-American boy, after the death of his grandmother, has to be apprenticed to the talking tiger Mr. Hu and learn ancient magic to become the new guardian of an ancient phoenix."
Salawahan,"Melaine can't get enough with the two men in her life. When a new man arrives, she gives in to temptation."
Guntur Kaaram,"Years after his mother abandons him and remarries, a man demands answers when he's asked to sign a document denying he is her son as she runs for office."
Noise,A woman with a hearing impediment is haunted by sounds linking to her sister's disappearance and the presence of a malevolent spirit.
The Mehta Boys,"A father and son embark on an involuntary 48-hour odyssey, navigating clashing perspectives as they confront the intricate nuances of their strained relationship."
Dayo,A club dancer leaves everything and starts a new life in a place where nobody knows her. But it seems that desire and temptation follow her wherever she goes.
The Deb,An original comedy musical about two teenage girls attending a debutante ball in a small rural town.
Woody Woodpecker Goes to Camp,"Woody Woodpecker must find a new home after being kicked out of the forest. At Camp Woo Hoo, he thinks he's found a forever home, but there's an inspector on the loose who wants to shut down the camp."
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"Tanjiro undergoes rigorous training with the Stone Hashira, Himejima, in his quest to become a Hashira. Meanwhile, Muzan continues to search for Nezuko and Ubuyashiki."
Witchy Ways,"Retreating to a cabin her late mother believed was magical, a skeptical Eve meets Danni, a witch whose secrets challenge Eve's logic. As romance sparks, supernatural secrets and a vengeful neighbor threaten everything Danni holds dear."
Gaslit by My Husband: The Morgan Metzer Story,"Morgan's ex-husband Rodney shows up minutes after a masked intruder has assaulted her in her home. Rodney's answers to the authorities' questions don't seem to add up, which makes him the prime suspect in the attack. Based on a true story."
Madgaon Express,The journey of three childhood friends who embark on a trip to Goa that goes completely off-track.
The Calendar Killer,Klara is going to die today unless she kills her husband instead. The Calendar Killer has given her that impossible choice. When Jules starts his night shift at a safety helpline for lonely women on their way home Klara's call reaches him.
Do Not Enter,"Two friends, aspiring YouTubers, trespass where they shouldn't. Their adventure takes a terrifying turn as they confront an unimaginable horror."
Timestalker,The hapless heroine Agnes is reincarnated every time she makes the same mistake: falling in love with the wrong man.
Standing on the Shoulders of Kitties,"Bubbles' band ""The Shitrockers"" lands a European tour but gets kicked off, forcing them to busk. Randy is their roadie. Can Ricky and Julian save them from the streets of Prague?"
Invasion,"When neighboring country Veragua suddenly attacks Curaçao and Aruba, the Dutch government is taken completely by surprise. The conflict escalates rapidly. Three young Dutch Corps recruits must figure out what is the right thing to do."
Danger in the Dorm,"After the murder of her childhood best friend and fellow classmate, Kathleen must catch a killer who's preying on young girls around campus."
Black,"A young couple move into a serene row house, eager for peace and privacy. A violent storm and unsettling forces unravel their marriage. Vasanth must uncover the truth behind these supernatural occurrences before everything falls apart."
Swap,A young couple is lured into the clutches of a bloodthirsty 500-year-old vampire; the exotic stranger tries to persuade them to swap partners and join his kind.
Golam,A mysterious death during work hours in an office puzzles all but only Investigator ASP Sandeep Krishna observes it as a murder.
Sentinel,"Years after an alien invasion, three heroes decide to time travel to save the survivors but they don't know that the Sentinel is waiting for them."
How to Date Billy Walsh,"Follows a pair of childhood friends: Amelia and Archie. Archie has always kept his love for her a secret, but just as he builds up the courage to declare his feelings, Amelia falls for Billy Walsh, the new transfer student."
Vettaiyan,Ruthless criminal activity is met with force from a maverick police officer with a disregard for the rules as he confronts an outbreak of lawlessness.
Simp,A model gets kidnapped at a fake photo shoot. Based on true events.
Mittran Da Challeya Truck Ni,"Satta, a truck driver, wants a practical wife to organize his life. Jindi, an independent woman, desires wealth and luxury. Their clashing paths lead to an unconventional relationship defying traditional romance norms."
Pechi,Revolves around age-old practices such as black magic and witchcraft.
The Fire Inside,Claressa Shields becomes the first American woman to win a gold medal only to learn that not all dreams are created equal.
If You See Something,"In the throes of a new love, an Iraqi immigrant seeking political asylum and an ambitious American woman start to build their life together in New York. When a crisis strikes, they are forced to navigate its impact on their relationship."
First Taste,"Yuna, a woman engaged with her long time boyfriend, Nicco, starts to have second thoughts when she meets again her first love, Becca. Now she is torn between the man she loves and the woman she first loved."
Donselya,"An 18-year-old virgin, Iris, enters a marriage of convenience with wealthy widower Joaquin for financial gain. However, the discovery of her deceit regarding her purity leads to a disastrous honeymoon."
